location,amenity_bar,amenity_cafe,amenity_cinema,amenity_conference_centre,amenity_fast_food,amenity_post_office,amenity_pub,amenity_restaurant,amenity_theatre,amenity_university,name,station_postal_code,station_city,totEnergy,totSessions,totCost,Potenza (kW),Ricavi totali (€) (IVA esclusa),Tempo Totale (min),Population,EV_percentage_per_region,competitor_count,median_point,polygon,FTX SPAM,Totale_macchine_interessate,amenity_score
location40,False,True,False,False,False,False,False,True,False,False,Autogrill,47039,Savignano sul Rubicone,77684.18899999993,2360,52804.38,662.5,1696.27,1978.0,4467118.0,0.0661,6,POINT (1392285.8557789044 4911073.292406568),"POLYGON ((4911073.292406568 1392292.6947155409, 4911074.182962495 1392285.8557789044, 4911056.817121931 1392285.6278143772, 4911073.292406568 1392292.6947155409))",40k+,45931,2
location41,False,True,False,False,True,False,False,False,False,False,Zanni,47838,Riccione,75760.36499999996,2398,51199.909999999996,622.0,2517.97843220339,3365.627118644068,4467118.0,0.0661,10,POINT (1416176.857624175 4897431.200129344),"POLYGON ((4897428.417142074 1416182.3332155964, 4897431.200129344 1416185.4132362222, 4897433.203880178 1416175.4887264804, 4897434.651033558 1416176.857624175, 4897415.058803178 1416166.2486687193, 4897428.417142074 1416182.3332155964))",40k+,45931,2
location42,False,True,False,False,False,False,False,True,False,False,Autogrill,60033,Chiaravalle,109128.53,3359,73800.98,622.0,3976.0960805084746,5235.567796610169,1512676.0,0.0407,0,POINT (1498029.5919266543 4856532.085253422),"POLYGON ((4856532.085253422 1498061.0530518808, 4856532.085253422 1498049.6126385576, 4856526.296639902 1498030.7359669216, 4856518.838234018 1498030.7359669216, 4856510.266633227 1498028.447886387, 4856539.988937269 1497914.2729081179, 4856540.10025676 1497919.0778576212, 4856546.668106716 1497916.1033649726, 4856532.085253422 1498061.0530518808))",40k+,14578,2
location43,True,True,False,False,True,False,False,True,False,False,Ristorante Casa De Mar,63828,Campofilone,62532.186,2018,42066.09,1284.5,1646.07,2111.0,1512676.0,0.0407,0,POINT (1556265.1070901875 4795096.695056213),"POLYGON ((4795096.082799014 1556340.3746392499, 4795103.318565914 1556337.8523383776, 4795091.518699891 1556365.5976610994, 4795097.3073134115 1556192.2471925893, 4795085.284808407 1556188.1198142215, 4795102.984607442 1556192.3618419974, 4795096.082799014 1556340.3746392499))",40k+,14578,4
location44,False,True,False,False,False,False,False,True,False,False,Martina Cafè,64028,Torre Cerrano,63733.04000000003,2017,43213.93,1325.0,2159.33,2720.0,1311580.0,0.0374,24,POINT (1588474.0292630028 4734555.033390837),"POLYGON ((4734608.633725654 1588500.5457002516, 4734611.1940739425 1588490.9033562806, 4734617.316645935 1588471.618679011, 4734501.433056019 1588466.1087738331, 4734498.093471296 1588476.4398469944, 4734493.306733192 1588454.2854395595, 4734608.633725654 1588500.5457002516))",40k+,12132,2
location45,False,False,False,False,True,False,False,False,False,False,Sarni,71010,Chieuti,58622.468999999975,1897,39730.4,1244.0,2164.89,2580.0,3990891.0,0.0246,0,POINT (1708661.214800699 4665325.219427519),"POLYGON ((4665368.355730201 1708680.1302323495, 4665364.904825986 1708678.8615137783, 4665368.355730201 1708671.133865725, 4665278.966179094 1708619.1164776555, 4665280.969929928 1708638.4932300826, 4665285.534029051 1708651.2957356728, 4665368.355730201 1708680.1302323495))",40k+,29571,1
location46,False,False,False,False,True,False,False,False,False,False,Sarni,71100,Foggia,41621.549000000006,1228,28228.25,0.0,2776.61529661017,3619.8813559322034,3990891.0,0.0246,0,POINT (1747008.8112246348 4629902.021623209),"POLYGON ((4629919.999720973 1747087.9434725847, 4629922.782708242 1747091.5246513025, 4629925.7883344935 1747082.0518571537, 4629882.0397746125 1746930.4876621496, 4629884.043525446 1746922.5167059747, 4629877.58699498 1746935.5705921156, 4629919.999720973 1747087.9434725847))",40k+,29571,1
location47,False,True,False,False,False,False,False,False,False,False,,76123,Andria,80366.70399999991,2447,54435.64,1244.0,3042.17,3790.0,3990891.0,0.0246,0,POINT (1830158.6811930316 4592070.4822953325),"POLYGON ((4592130.928778834 1830235.6612812956, 4592130.928778834 1830226.1546777734, 4592125.140165312 1830266.847606003, 4592015.824425353 1830082.396765509, 4592011.928243176 1830091.2077082898, 4592014.0433135005 1830084.0198336602, 4592130.928778834 1830235.6612812956))",40k+,29571,1
location48,False,True,False,False,False,False,False,False,False,False,,70026,Modugno,61310.712999999974,1881,41573.58,600.0,2320.987648305085,2761.9406779661017,3990891.0,0.0246,0,POINT (1894015.7145921406 4574756.516614292),"POLYGON ((4574756.516614292 1894045.594421016, 4574763.863700684 1894037.1071503418, 4574758.631684617 1894015.7145921406, 4574734.809313587 1893891.8939418392, 4574706.088884963 1893895.1493115618, 4574756.516614292 1894045.594421016))",40k+,29571,1
location49,False,False,False,False,False,True,False,True,False,False,Autogrill,83100,Avellino,50905.20999999997,1591,34736.76,1244.0,1909.0584322033899,2356.627118644068,5797706.0,0.0206,30,POINT (1664222.9394752283 4555872.946113066),"POLYGON ((4555936.398222818 1664214.880342062, 4555941.518919394 1664222.9394752283, 4555941.518919394 1664222.9394752283, 4555798.139415253 1664225.3572156846, 4555792.462121222 1664215.8013857214, 4555809.494003314 1664233.992004938, 4555936.398222818 1664214.880342062))",40k+,43417,2
location5,False,True,False,False,True,False,False,True,False,False,Eataly,41100,Modena,313140.9659999999,10227,212328.83,622.0,6816.156864406779,8896.254237288136,4467118.0,0.0661,42,POINT (1216006.3001487118 4971777.257889521),"POLYGON ((4971784.827614895 1216007.8870314283, 4971784.382336931 1216004.2598710423, 4971777.257889521 1216009.247216673, 4971777.14657003 1216006.3001487118, 4971800.078385133 1216025.1160485682, 4971703.341747634 1215659.2280156503, 4971708.239805229 1215645.6263062505, 4971784.827614895 1216007.8870314283))",40k+,45931,3
location50,True,False,False,False,True,False,False,True,False,False,Sarni Mirabella Sud,83036,Mirabella Eclano,20708.111999999997,743,14031.66,0.0,1388.307648305085,1809.9406779661017,5797706.0,0.0206,0,POINT (1690752.2119981206 4570798.329480155),"POLYGON ((4570798.329480155 1690752.2119981206, 4570804.786010621 1690745.0662710557, 4570792.318227652 1690758.4356975763, 4570798.329480155 1690752.2119981206))",10k-40k,43417,3
location51,False,True,False,False,False,False,False,True,False,False,Autogrill,83059,Vallata,53977.041999999994,1747,36409.1,1325.0,1291.96,1654.0,5797706.0,0.0206,0,POINT (1725546.907171485 4571412.813069334),"POLYGON ((4571522.908045729 1725643.0506651492, 4571526.6929084165 1725650.5528836432, 4571525.245755035 1725621.5827912607, 4571302.718092941 1725428.6036205075, 4571301.604898032 1725438.7603805212, 4571297.931354836 1725472.2315517091, 4571522.908045729 1725643.0506651492))",40k+,43417,2
location52,False,True,False,False,False,False,True,True,False,False,Bar la Sosta,80078,Pozzuoli,20579.157999999992,893,13798.83,0.0,1388.307648305085,1809.9406779661017,5797706.0,0.0206,12,POINT (1587935.785835915 4546029.074861707),"POLYGON ((4546022.284372769 1587942.7878652296, 4546029.074861707 1587935.785835915, 4546032.414446431 1587928.7838084768, 4546022.284372769 1587942.7878652296))",10k-40k,43417,3
location53,True,True,False,False,True,True,False,True,False,False,natoo,80144,Napoli,56056.172000000006,1813,41368.97,600.0,147.75,186.0,5797706.0,0.0206,8,POINT (1606330.638749092 4549995.16567969),,40k+,43417,5
location54,False,False,False,False,False,False,False,True,False,False,Ledra est-Autogrill,33010,Colloredo di Monte Albano,54185.158999999985,1703,36847.07,0.0,925.5384322033899,1206.6271186440679,1215220.0,0.0551,0,POINT (1473322.6685505195 5141422.651543675),,40k+,11849,1
location55,False,False,False,False,False,False,False,True,False,False,Trattoria All'Orso,33010,Malborghetto Valbruna,74222.12699999998,1984,50423.92,0.0,1388.307648305085,1809.9406779661017,1215220.0,0.0551,0,POINT (1502661.9705202891 5176244.111840501),"POLYGON ((5176244.111840501 1502661.9705202891, 5176242.442048139 1502672.6118819178, 5176246.449549808 1502653.617626404, 5176244.111840501 1502661.9705202891))",40k+,11849,1
location56,False,True,False,False,False,False,False,True,False,False,Autogrill,15040,Occimiano,94530.58000000002,3042,64763.649999999994,1284.5,2682.5899999999997,3576.0,4270805.0,0.0732,0,POINT (950834.6564705928 5017699.052530289),"POLYGON ((5017691.53846466 950944.9640668057, 5017683.746100306 950942.7128857861, 5017679.2933206735 950943.8384762813, 5017714.915557727 950726.6000553996, 5017713.802362819 950715.3442085048, 5017706.566595917 950705.551624097, 5017691.53846466 950944.9640668057))",40k+,44553,2
location57,False,False,False,False,False,False,False,True,False,False,Autogrill,31032,Casale sul Sile,61909.848999999995,2286,41885.43,1325.0,1451.049216101695,1765.313559322034,4888642.0,0.062,0,POINT (1379624.9481549761 5077053.436166609),"POLYGON ((5077036.626923499 1379706.2399698498, 5077036.738242989 1379715.9243764936, 5077007.238577929 1379722.0768246935, 5077083.826387596 1379543.6563401027, 5077070.134090228 1379532.946587491, 5077116.77695687 1379542.517004536, 5077036.626923499 1379706.2399698498))",40k+,51291,1
location58,False,False,False,False,True,False,False,False,False,False,Gustofast,52027,San Giovanni Valdarno,59943.64199999999,1816,40310.28,662.5,2398.48843220339,2991.627118644068,3729641.0,0.0877,20,POINT (1291421.23633201 4851625.122099255),"POLYGON ((4851629.574878886 1291421.23633201, 4851625.122099255 1291425.7806987003, 4851624.899460273 1291416.1239202563, 4851623.563626383 1291418.6233214557, 4851631.801268702 1291431.461157973, 4851629.574878886 1291421.23633201))",40k+,48186,1
location6,False,True,False,False,False,False,False,True,False,False,Coffee Break,40033,Casalecchio di Reno,113137.44800000009,3270,76246.22,0.0,2776.61529661017,3619.8813559322034,4467118.0,0.0661,24,POINT (1263866.1823403365 4948862.80862667),"POLYGON ((4948892.3082917305 1263911.9845075968, 4948886.074400246 1263917.0925631013, 4948897.651627288 1263908.9196746785, 4948833.865559064 1263817.655893109, 4948830.192015868 1263823.4450059945, 4948839.542853094 1263818.1099411412, 4948892.3082917305 1263911.9845075968))",40k+,45931,2
location7,False,False,False,False,False,False,False,True,False,False,Bar ristorante pizzeria Badia,40035,Castiglione dei Pepoli,80223.69900000005,2407,54482.41,0.0,1388.307648305085,1809.9406779661017,4467118.0,0.0661,0,POINT (1254068.3148687659 4914874.296419704),"POLYGON ((4914873.517183269 1254072.286606085, 4914874.296419704 1254068.3148687659, 4914900.790458513 1254059.123135669, 4914873.517183269 1254072.286606085))",40k+,45931,1
location8,True,True,False,False,False,True,False,True,False,False,Le Fate Ignoranti,52041,Civitella In Val di Chiana,119428.264,3521,79201.54000000001,1325.0,4618.22686440678,5661.254237288136,3729641.0,0.0877,0,POINT (1318783.818006632 4832017.473970164),"POLYGON ((4831888.732979061 1318840.7286541248, 4831882.610407067 1318837.6585444899, 4831874.48408424 1318833.5650654447, 4831869.363387663 1318840.7286541248, 4831888.732979061 1318840.7286541248, 4832153.78468664 1318725.9977247245, 4832154.007325621 1318732.4790445084, 4832146.214961266 1318728.4992865876, 4832146.214961266 1318734.070947819, 4832170.816568731 1318703.7110915026, 4831888.732979061 1318840.7286541248))",40k+,48186,4
location9,False,False,False,False,True,False,False,True,False,False,Mondo Pizza Rosticceria,5015,Fabro,133152.384,4091,89620.43,1284.5,3910.387648305085,4918.940677966102,838099.0,0.0385,81,POINT (1347694.8502593054 4772975.45282501),"POLYGON ((4772924.579817717 1347879.798257725, 4772931.4816261465 1347875.928565089, 4772938.9400320295 1347874.3351623812, 4772919.45912114 1347887.0823863659, 4773002.392141782 1347662.8685955917, 4772989.813039322 1347657.9746072928, 4772983.356508856 1347689.728638316, 4772975.45282501 1347694.8502593054, 4773007.290199377 1347669.6974177805, 4772924.579817717 1347879.798257725))",40k+,8641,2
