Location,amenity_bar,amenity_cafe,amenity_cinema,amenity_conference_centre,amenity_events_venue,amenity_fast_food,amenity_office,amenity_post_office,amenity_pub,amenity_research_institute,amenity_restaurant,amenity_theatre,amenity_university,geometry_left,name,latitude,longitude,FTX SPAM,FTX SPAM.1,geometry_right,reg_name,competitor_count,Totale_macchine_interessate,EV_percentage_per_region,amenity_score
Location 2,False,False,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((5072688.055946514 1033292.0813659021, 5072684.203727852 1033213.6676536384, 5072672.684170837 1033136.0091082891, 5072653.6082151 1033059.8536240985, 5072627.159572523 1032985.93462001, 5072593.592957993 1032914.9639764413, 5072553.231636356 1032847.6251794865, 5072506.464309204 1032784.5667385712, 5072453.741371463 1032726.3959409528, 5072395.570573845 1032673.6730032119, 5072332.51213293 1032626.90567606, 5072265.173335975 1032586.5443544234, 5072194.202692406 1032552.977739893, 5072120.283688318 1032526.5290973163, 5072044.128204127 1032507.4531415795, 5071966.469658778 1032495.9335845644, 5071888.055946514 1032492.0813659021, 5071809.64223425 1032495.9335845644, 5071731.983688901 1032507.4531415795, 5071655.82820471 1032526.5290973163, 5071581.909200622 1032552.977739893, 5071510.938557053 1032586.5443544234, 5071443.599760098 1032626.90567606, 5071380.541319183 1032673.6730032119, 5071322.370521565 1032726.3959409528, 5071269.647583824 1032784.5667385712, 5071222.880256672 1032847.6251794865, 5071182.518935035 1032914.9639764413, 5071148.952320505 1032985.93462001, 5071122.503677928 1033059.8536240985, 5071103.427722191 1033136.0091082891, 5071091.908165176 1033213.6676536384, 5071088.055946514 1033292.0813659021, 5071091.908165176 1033370.4950781658, 5071103.427722191 1033448.153623515, 5071122.503677928 1033524.3091077057, 5071148.952320505 1033598.2281117942, 5071182.518935035 1033669.1987553629, 5071222.880256672 1033736.5375523177, 5071269.647583824 1033799.595993233, 5071322.370521565 1033857.7667908514, 5071380.541319183 1033910.4897285923, 5071443.599760098 1033957.2570557442, 5071510.938557053 1033997.6183773808, 5071581.909200622 1034031.1849919112, 5071655.82820471 1034057.6336344879, 5071731.983688901 1034076.7095902247, 5071809.64223425 1034088.2291472398, 5071888.055946514 1034092.0813659021, 5071966.469658778 1034088.2291472398, 5072044.128204127 1034076.7095902247, 5072120.283688318 1034057.6336344879, 5072194.202692406 1034031.1849919112, 5072265.173335975 1033997.6183773808, 5072332.51213293 1033957.2570557442, 5072395.570573845 1033910.4897285923, 5072453.741371463 1033857.7667908514, 5072506.464309204 1033799.595993233, 5072553.231636356 1033736.5375523177, 5072593.592957993 1033669.1987553629, 5072627.159572523 1033598.2281117942, 5072653.6082151 1033524.3091077057, 5072672.684170837 1033448.153623515, 5072684.203727852 1033370.4950781658, 5072688.055946514 1033292.0813659021))",L'Angolo,45.5584398861864,9.24029489212583,40k+,682948.72,POINT (5071542.329466234 1033113.0821584971),Lombardia,2,108054,0.0767,1
Location 20,False,True,False,False,False,True,False,False,False,False,False,False,False,"POLYGON ((4727411.118680542 1393334.647921704, 4727407.26646188 1393256.2342094404, 4727395.746904865 1393178.5756640912, 4727376.670949128 1393102.4201799005, 4727350.222306551 1393028.501175812, 4727316.655692021 1392957.5305322432, 4727276.294370384 1392890.1917352884, 4727229.527043233 1392827.133294373, 4727176.804105491 1392768.9624967547, 4727118.633307873 1392716.2395590139, 4727055.574866958 1392669.472231862, 4726988.236070003 1392629.1109102252, 4726917.265426435 1392595.544295695, 4726843.346422346 1392569.0956531183, 4726767.190938155 1392550.0196973814, 4726689.532392806 1392538.5001403661, 4726611.118680542 1392534.647921704, 4726532.704968278 1392538.5001403661, 4726455.0464229295 1392550.0196973814, 4726378.890938738 1392569.0956531183, 4726304.97193465 1392595.544295695, 4726234.001291081 1392629.1109102252, 4726166.662494127 1392669.472231862, 4726103.604053211 1392716.2395590139, 4726045.433255593 1392768.9624967547, 4725992.710317852 1392827.133294373, 4725945.942990701 1392890.1917352884, 4725905.581669063 1392957.5305322432, 4725872.015054533 1393028.501175812, 4725845.566411956 1393102.4201799005, 4725826.49045622 1393178.5756640912, 4725814.970899205 1393256.2342094404, 4725811.118680542 1393334.647921704, 4725814.970899205 1393413.0616339676, 4725826.49045622 1393490.7201793168, 4725845.566411956 1393566.8756635075, 4725872.015054533 1393640.794667596, 4725905.581669063 1393711.7653111648, 4725945.942990701 1393779.1041081196, 4725992.710317852 1393842.162549035, 4726045.433255593 1393900.3333466533, 4726103.604053211 1393953.056284394, 4726166.662494127 1393999.823611546, 4726234.001291081 1394040.1849331828, 4726304.97193465 1394073.751547713, 4726378.890938738 1394100.2001902896, 4726455.0464229295 1394119.2761460266, 4726532.704968278 1394130.7957030418, 4726611.118680542 1394134.647921704, 4726689.532392806 1394130.7957030418, 4726767.190938155 1394119.2761460266, 4726843.346422346 1394100.2001902896, 4726917.265426435 1394073.751547713, 4726988.236070003 1394040.1849331828, 4727055.574866958 1393999.823611546, 4727118.633307873 1393953.056284394, 4727176.804105491 1393900.3333466533, 4727229.527043233 1393842.162549035, 4727276.294370384 1393779.1041081196, 4727316.655692021 1393711.7653111648, 4727350.222306551 1393640.794667596, 4727376.670949128 1393566.8756635075, 4727395.746904865 1393490.7201793168, 4727407.26646188 1393413.0616339676, 4727411.118680542 1393334.647921704))",Birra Moretti,42.460214478762,12.4183118423288,10k-40k,29968.55,POINT (4726649.454748968 1393352.3890191463),Lazio,3,64213,0.0694,2
Location 21,False,True,False,False,False,False,False,False,False,False,False,False,False,"POLYGON ((4663444.011568119 1421957.8751091913, 4663440.159349456 1421879.4613969277, 4663428.639792441 1421801.8028515785, 4663409.563836705 1421725.6473673878, 4663383.115194128 1421651.7283632993, 4663349.548579598 1421580.7577197305, 4663309.18725796 1421513.4189227757, 4663262.419930809 1421450.3604818603, 4663209.696993068 1421392.189684242, 4663151.52619545 1421339.4667465012, 4663088.467754534 1421292.6994193492, 4663021.12895758 1421252.3380977125, 4662950.158314011 1421218.7714831822, 4662876.239309923 1421192.3228406056, 4662800.083825732 1421173.2468848687, 4662722.425280383 1421161.7273278534, 4662644.011568119 1421157.8751091913, 4662565.597855855 1421161.7273278534, 4662487.939310506 1421173.2468848687, 4662411.783826315 1421192.3228406056, 4662337.864822227 1421218.7714831822, 4662266.894178658 1421252.3380977125, 4662199.555381703 1421292.6994193492, 4662136.496940788 1421339.4667465012, 4662078.32614317 1421392.189684242, 4662025.603205428 1421450.3604818603, 4661978.835878277 1421513.4189227757, 4661938.47455664 1421580.7577197305, 4661904.90794211 1421651.7283632993, 4661878.459299533 1421725.6473673878, 4661859.383343796 1421801.8028515785, 4661847.863786781 1421879.4613969277, 4661844.011568119 1421957.8751091913, 4661847.863786781 1422036.2888214549, 4661859.383343796 1422113.9473668041, 4661878.459299533 1422190.1028509948, 4661904.90794211 1422264.0218550833, 4661938.47455664 1422334.992498652, 4661978.835878277 1422402.331295607, 4662025.603205428 1422465.3897365222, 4662078.32614317 1422523.5605341406, 4662136.496940788 1422576.2834718814, 4662199.555381703 1422623.0507990334, 4662266.894178658 1422663.41212067, 4662337.864822227 1422696.9787352004, 4662411.783826315 1422723.427377777, 4662487.939310506 1422742.5033335139, 4662565.597855855 1422754.0228905291, 4662644.011568119 1422757.8751091913, 4662722.425280383 1422754.0228905291, 4662800.083825732 1422742.5033335139, 4662876.239309923 1422723.427377777, 4662950.158314011 1422696.9787352004, 4663021.12895758 1422663.41212067, 4663088.467754534 1422623.0507990334, 4663151.52619545 1422576.2834718814, 4663209.696993068 1422523.5605341406, 4663262.419930809 1422465.3897365222, 4663309.18725796 1422402.331295607, 4663349.548579598 1422334.992498652, 4663383.115194128 1422264.0218550833, 4663409.563836705 1422190.1028509948, 4663428.639792441 1422113.9473668041, 4663440.159349456 1422036.2888214549, 4663444.011568119 1421957.8751091913))",,41.8794377369401,12.6709682036843,10k-40k,28632.08,POINT (4661997.683584777 1422165.853095887),Lazio,0,64213,0.0694,1
Location 22,False,True,False,False,False,False,False,False,False,False,False,False,False,"POLYGON ((4995006.632471239 1126793.3409181666, 4995002.780252577 1126714.927205903, 4994991.260695562 1126637.2686605537, 4994972.184739825 1126561.113176363, 4994945.736097248 1126487.1941722746, 4994912.169482718 1126416.2235287058, 4994871.808161081 1126348.884731751, 4994825.04083393 1126285.8262908356, 4994772.317896188 1126227.6554932173, 4994714.14709857 1126174.9325554764, 4994651.088657655 1126128.1652283245, 4994583.7498607 1126087.8039066878, 4994512.779217131 1126054.2372921575, 4994438.860213043 1126027.788649581, 4994362.704728852 1126008.712693844, 4994285.046183503 1125997.1931368287, 4994206.632471239 1125993.3409181666, 4994128.218758975 1125997.1931368287, 4994050.560213626 1126008.712693844, 4993974.404729435 1126027.788649581, 4993900.485725347 1126054.2372921575, 4993829.515081778 1126087.8039066878, 4993762.176284824 1126128.1652283245, 4993699.117843908 1126174.9325554764, 4993640.94704629 1126227.6554932173, 4993588.224108549 1126285.8262908356, 4993541.456781398 1126348.884731751, 4993501.09545976 1126416.2235287058, 4993467.52884523 1126487.1941722746, 4993441.080202653 1126561.113176363, 4993422.004246917 1126637.2686605537, 4993410.484689902 1126714.927205903, 4993406.632471239 1126793.3409181666, 4993410.484689902 1126871.7546304301, 4993422.004246917 1126949.4131757794, 4993441.080202653 1127025.56865997, 4993467.52884523 1127099.4876640586, 4993501.09545976 1127170.4583076274, 4993541.456781398 1127237.7971045822, 4993588.224108549 1127300.8555454975, 4993640.94704629 1127359.0263431158, 4993699.117843908 1127411.7492808567, 4993762.176284824 1127458.5166080086, 4993829.515081778 1127498.8779296454, 4993900.485725347 1127532.4445441756, 4993974.404729435 1127558.8931867522, 4994050.560213626 1127577.9691424891, 4994128.218758975 1127589.4886995044, 4994206.632471239 1127593.3409181666, 4994285.046183503 1127589.4886995044, 4994362.704728852 1127577.9691424891, 4994438.860213043 1127558.8931867522, 4994512.779217131 1127532.4445441756, 4994583.7498607 1127498.8779296454, 4994651.088657655 1127458.5166080086, 4994714.14709857 1127411.7492808567, 4994772.317896188 1127359.0263431158, 4994825.04083393 1127300.8555454975, 4994871.808161081 1127237.7971045822, 4994912.169482718 1127170.4583076274, 4994945.736097248 1127099.4876640586, 4994972.184739825 1127025.56865997, 4994991.260695562 1126949.4131757794, 4995002.780252577 1126871.7546304301, 4995006.632471239 1126793.3409181666))",Caffè della Palta,44.8704541701007,10.0754476357731,10k-40k,26967.21,POINT (4994956.109878528 1127419.3248787369),Emilia-Romagna,0,45931,0.0661,1
Location 23,True,True,False,True,False,True,False,True,False,False,True,False,False,"POLYGON ((5085640.601901918 1364648.792200618, 5085636.749683255 1364570.3784883544, 5085625.23012624 1364492.7199430051, 5085606.154170504 1364416.5644588144, 5085579.705527927 1364342.645454726, 5085546.138913397 1364271.6748111572, 5085505.777591759 1364204.3360142023, 5085459.010264608 1364141.277573287, 5085406.287326867 1364083.1067756687, 5085348.116529249 1364030.3838379278, 5085285.058088333 1363983.6165107759, 5085217.719291379 1363943.2551891392, 5085146.74864781 1363909.6885746089, 5085072.829643722 1363883.2399320323, 5084996.674159531 1363864.1639762954, 5084919.015614182 1363852.64441928, 5084840.601901918 1363848.792200618, 5084762.188189654 1363852.64441928, 5084684.529644305 1363864.1639762954, 5084608.374160114 1363883.2399320323, 5084534.4551560255 1363909.6885746089, 5084463.484512457 1363943.2551891392, 5084396.145715502 1363983.6165107759, 5084333.087274587 1364030.3838379278, 5084274.916476969 1364083.1067756687, 5084222.193539227 1364141.277573287, 5084175.426212076 1364204.3360142023, 5084135.064890439 1364271.6748111572, 5084101.498275909 1364342.645454726, 5084075.049633332 1364416.5644588144, 5084055.973677595 1364492.7199430051, 5084044.45412058 1364570.3784883544, 5084040.601901918 1364648.792200618, 5084044.45412058 1364727.2059128815, 5084055.973677595 1364804.8644582308, 5084075.049633332 1364881.0199424215, 5084101.498275909 1364954.93894651, 5084135.064890439 1365025.9095900788, 5084175.426212076 1365093.2483870336, 5084222.193539227 1365156.306827949, 5084274.916476969 1365214.4776255672, 5084333.087274587 1365267.200563308, 5084396.145715502 1365313.96789046, 5084463.484512457 1365354.3292120968, 5084534.4551560255 1365387.895826627, 5084608.374160114 1365414.3444692036, 5084684.529644305 1365433.4204249405, 5084762.188189654 1365444.9399819558, 5084840.601901918 1365448.792200618, 5084919.015614182 1365444.9399819558, 5084996.674159531 1365433.4204249405, 5085072.829643722 1365414.3444692036, 5085146.74864781 1365387.895826627, 5085217.719291379 1365354.3292120968, 5085285.058088333 1365313.96789046, 5085348.116529249 1365267.200563308, 5085406.287326867 1365214.4776255672, 5085459.010264608 1365156.306827949, 5085505.777591759 1365093.2483870336, 5085546.138913397 1365025.9095900788, 5085579.705527927 1364954.93894651, 5085606.154170504 1364881.0199424215, 5085625.23012624 1364804.8644582308, 5085636.749683255 1364727.2059128815, 5085640.601901918 1364648.792200618))",Paese,45.6716431542405,12.1759121309309,10k-40k,26194.97,POINT (5084144.059622151 1365734.9076396176),Veneto,0,51291,0.062,6
Location 24,True,False,False,False,False,True,False,False,True,False,True,False,False,"POLYGON ((5000232.002764923 964081.2208739102, 5000228.15054626 964002.8071616465, 5000216.630989245 963925.1486162973, 5000197.555033509 963848.9931321066, 5000171.106390932 963775.0741280181, 5000137.539776402 963704.1034844494, 5000097.178454764 963636.7646874946, 5000050.411127613 963573.7062465793, 4999997.688189872 963515.535448961, 4999939.5173922535 963462.81251122, 4999876.458951338 963416.0451840681, 4999809.120154384 963375.6838624316, 4999738.149510815 963342.1172479012, 4999664.230506727 963315.6686053245, 4999588.075022535 963296.5926495877, 4999510.416477187 963285.0730925725, 4999432.002764923 963281.2208739102, 4999353.5890526585 963285.0730925725, 4999275.93050731 963296.5926495877, 4999199.775023119 963315.6686053245, 4999125.85601903 963342.1172479012, 4999054.885375462 963375.6838624316, 4998987.546578507 963416.0451840681, 4998924.488137592 963462.81251122, 4998866.3173399735 963515.535448961, 4998813.594402232 963573.7062465793, 4998766.827075081 963636.7646874946, 4998726.465753444 963704.1034844494, 4998692.8991389135 963775.0741280181, 4998666.450496336 963848.9931321066, 4998647.3745406 963925.1486162973, 4998635.854983585 964002.8071616465, 4998632.002764923 964081.2208739102, 4998635.854983585 964159.6345861739, 4998647.3745406 964237.2931315232, 4998666.450496336 964313.4486157139, 4998692.8991389135 964387.3676198024, 4998726.465753444 964458.338263371, 4998766.827075081 964525.6770603259, 4998813.594402232 964588.7355012412, 4998866.3173399735 964646.9062988595, 4998924.488137592 964699.6292366005, 4998987.546578507 964746.3965637523, 4999054.885375462 964786.7578853889, 4999125.85601903 964820.3244999193, 4999199.775023119 964846.773142496, 4999275.93050731 964865.8490982328, 4999353.5890526585 964877.368655248, 4999432.002764923 964881.2208739102, 4999510.416477187 964877.368655248, 4999588.075022535 964865.8490982328, 4999664.230506727 964846.773142496, 4999738.149510815 964820.3244999193, 4999809.120154384 964786.7578853889, 4999876.458951338 964746.3965637523, 4999939.5173922535 964699.6292366005, 4999997.688189872 964646.9062988595, 5000050.411127613 964588.7355012412, 5000097.178454764 964525.6770603259, 5000137.539776402 964458.338263371, 5000171.106390932 964387.3676198024, 5000197.555033509 964313.4486157139, 5000216.630989245 964237.2931315232, 5000228.15054626 964159.6345861739, 5000232.002764923 964081.2208739102))",Caffè Noire,44.907736,8.6362299,10k-40k,26088.33,POINT (4999106.304198761 965041.9141254314),Piemonte,3,44553,0.0732,4
Location 25,True,False,False,False,False,True,False,False,False,False,True,True,False,"POLYGON ((4945651.043421615 1370864.541603693, 4945647.1912029525 1370786.1278914295, 4945635.6716459375 1370708.4693460802, 4945616.595690201 1370632.3138618895, 4945590.147047624 1370558.394857801, 4945556.580433094 1370487.4242142322, 4945516.219111457 1370420.0854172774, 4945469.451784305 1370357.026976362, 4945416.728846564 1370298.8561787438, 4945358.558048946 1370246.133241003, 4945295.499608031 1370199.365913851, 4945228.160811076 1370159.0045922142, 4945157.190167507 1370125.437977684, 4945083.271163419 1370098.9893351074, 4945007.115679228 1370079.9133793705, 4944929.457133879 1370068.3938223552, 4944851.043421615 1370064.541603693, 4944772.629709351 1370068.3938223552, 4944694.971164002 1370079.9133793705, 4944618.815679811 1370098.9893351074, 4944544.896675723 1370125.437977684, 4944473.926032154 1370159.0045922142, 4944406.587235199 1370199.365913851, 4944343.528794284 1370246.133241003, 4944285.357996666 1370298.8561787438, 4944232.635058925 1370357.026976362, 4944185.867731773 1370420.0854172774, 4944145.506410136 1370487.4242142322, 4944111.939795606 1370558.394857801, 4944085.491153029 1370632.3138618895, 4944066.415197292 1370708.4693460802, 4944054.895640277 1370786.1278914295, 4944051.043421615 1370864.541603693, 4944054.895640277 1370942.9553159566, 4944066.415197292 1371020.6138613059, 4944085.491153029 1371096.7693454965, 4944111.939795606 1371170.688349585, 4944145.506410136 1371241.6589931538, 4944185.867731773 1371308.9977901087, 4944232.635058925 1371372.056231024, 4944285.357996666 1371430.2270286423, 4944343.528794284 1371482.9499663832, 4944406.587235199 1371529.7172935351, 4944473.926032154 1371570.0786151718, 4944544.896675723 1371603.6452297021, 4944618.815679811 1371630.0938722787, 4944694.971164002 1371649.1698280156, 4944772.629709351 1371660.689385031, 4944851.043421615 1371664.541603693, 4944929.457133879 1371660.689385031, 4945007.115679228 1371649.1698280156, 4945083.271163419 1371630.0938722787, 4945157.190167507 1371603.6452297021, 4945228.160811076 1371570.0786151718, 4945295.499608031 1371529.7172935351, 4945358.558048946 1371482.9499663832, 4945416.728846564 1371430.2270286423, 4945469.451784305 1371372.056231024, 4945516.219111457 1371308.9977901087, 4945556.580433094 1371241.6589931538, 4945590.147047624 1371170.688349585, 4945616.595690201 1371096.7693454965, 4945635.6716459375 1371020.6138613059, 4945647.1912029525 1370942.9553159566, 4945651.043421615 1370864.541603693))",Le Sciccherie,44.4241604056818,12.231005499928,10k-40k,25946.84,POINT (4945274.915279204 1372009.6634897462),Emilia-Romagna,6,45931,0.0661,4
Location 27,True,True,False,False,False,False,False,True,False,False,True,False,False,"POLYGON ((5090259.815304334 1278046.7430348403, 5090255.963085672 1277968.3293225768, 5090244.443528657 1277890.6707772275, 5090225.36757292 1277814.5152930368, 5090198.918930343 1277740.5962889483, 5090165.352315813 1277669.6256453795, 5090124.990994176 1277602.2868484247, 5090078.223667025 1277539.2284075094, 5090025.500729283 1277481.057609891, 5089967.329931665 1277428.3346721502, 5089904.27149075 1277381.5673449982, 5089836.932693795 1277341.2060233615, 5089765.9620502265 1277307.6394088313, 5089692.043046138 1277281.1907662547, 5089615.887561947 1277262.1148105178, 5089538.229016598 1277250.5952535025, 5089459.815304334 1277246.7430348403, 5089381.40159207 1277250.5952535025, 5089303.743046721 1277262.1148105178, 5089227.58756253 1277281.1907662547, 5089153.668558442 1277307.6394088313, 5089082.697914873 1277341.2060233615, 5089015.359117919 1277381.5673449982, 5088952.300677003 1277428.3346721502, 5088894.129879385 1277481.057609891, 5088841.406941644 1277539.2284075094, 5088794.639614493 1277602.2868484247, 5088754.278292855 1277669.6256453795, 5088720.711678325 1277740.5962889483, 5088694.263035748 1277814.5152930368, 5088675.187080012 1277890.6707772275, 5088663.667522997 1277968.3293225768, 5088659.815304334 1278046.7430348403, 5088663.667522997 1278125.156747104, 5088675.187080012 1278202.8152924532, 5088694.263035748 1278278.9707766438, 5088720.711678325 1278352.8897807323, 5088754.278292855 1278423.8604243011, 5088794.639614493 1278491.199221256, 5088841.406941644 1278554.2576621713, 5088894.129879385 1278612.4284597896, 5088952.300677003 1278665.1513975305, 5089015.359117919 1278711.9187246824, 5089082.697914873 1278752.2800463191, 5089153.668558442 1278785.8466608494, 5089227.58756253 1278812.295303426, 5089303.743046721 1278831.371259163, 5089381.40159207 1278842.8908161782, 5089459.815304334 1278846.7430348403, 5089538.229016598 1278842.8908161782, 5089615.887561947 1278831.371259163, 5089692.043046138 1278812.295303426, 5089765.9620502265 1278785.8466608494, 5089836.932693795 1278752.2800463191, 5089904.27149075 1278711.9187246824, 5089967.329931665 1278665.1513975305, 5090025.500729283 1278612.4284597896, 5090078.223667025 1278554.2576621713, 5090124.990994176 1278491.199221256, 5090165.352315813 1278423.8604243011, 5090198.918930343 1278352.8897807323, 5090225.36757292 1278278.9707766438, 5090244.443528657 1278202.8152924532, 5090255.963085672 1278125.156747104, 5090259.815304334 1278046.7430348403))",Postebusiness Schio,45.7188526145074,11.40818773035,10k-40k,25566.04,POINT (5089399.392699688 1278428.9978378424),Veneto,2,51291,0.062,4
Location 28,False,False,False,False,False,True,False,True,False,False,True,False,False,"POLYGON ((5111692.958367096 1384692.358205095, 5111689.106148434 1384613.9444928314, 5111677.586591419 1384536.285947482, 5111658.510635682 1384460.1304632914, 5111632.061993105 1384386.211459203, 5111598.495378575 1384315.2408156341, 5111558.134056938 1384247.9020186793, 5111511.366729787 1384184.843577764, 5111458.643792045 1384126.6727801457, 5111400.472994427 1384073.9498424048, 5111337.414553512 1384027.1825152528, 5111270.075756557 1383986.8211936161, 5111199.1051129885 1383953.2545790859, 5111125.1861089 1383926.8059365093, 5111049.030624709 1383907.7299807724, 5110971.37207936 1383896.210423757, 5110892.958367096 1383892.358205095, 5110814.544654832 1383896.210423757, 5110736.886109483 1383907.7299807724, 5110660.730625292 1383926.8059365093, 5110586.811621204 1383953.2545790859, 5110515.840977635 1383986.8211936161, 5110448.502180681 1384027.1825152528, 5110385.443739765 1384073.9498424048, 5110327.272942147 1384126.6727801457, 5110274.550004406 1384184.843577764, 5110227.782677255 1384247.9020186793, 5110187.421355617 1384315.2408156341, 5110153.854741087 1384386.211459203, 5110127.40609851 1384460.1304632914, 5110108.330142774 1384536.285947482, 5110096.810585759 1384613.9444928314, 5110092.958367096 1384692.358205095, 5110096.810585759 1384770.7719173585, 5110108.330142774 1384848.4304627078, 5110127.40609851 1384924.5859468984, 5110153.854741087 1384998.504950987, 5110187.421355617 1385069.4755945557, 5110227.782677255 1385136.8143915106, 5110274.550004406 1385199.8728324259, 5110327.272942147 1385258.0436300442, 5110385.443739765 1385310.766567785, 5110448.502180681 1385357.533894937, 5110515.840977635 1385397.8952165737, 5110586.811621204 1385431.461831104, 5110660.730625292 1385457.9104736806, 5110736.886109483 1385476.9864294175, 5110814.544654832 1385488.5059864328, 5110892.958367096 1385492.358205095, 5110971.37207936 1385488.5059864328, 5111049.030624709 1385476.9864294175, 5111125.1861089 1385457.9104736806, 5111199.1051129885 1385431.461831104, 5111270.075756557 1385397.8952165737, 5111337.414553512 1385357.533894937, 5111400.472994427 1385310.766567785, 5111458.643792045 1385258.0436300442, 5111511.366729787 1385199.8728324259, 5111558.134056938 1385136.8143915106, 5111598.495378575 1385069.4755945557, 5111632.061993105 1384998.504950987, 5111658.510635682 1384924.5859468984, 5111677.586591419 1384848.4304627078, 5111689.106148434 1384770.7719173585, 5111692.958367096 1384692.358205095))",Burger King,45.90523928,12.33474799,10k-40k,25408.81,POINT (5110147.86139298 1383828.775352961),Veneto,10,51291,0.062,3
Location 29,True,False,False,False,False,True,False,True,False,False,True,False,False,"POLYGON ((4641119.288439695 1733927.2563834516, 4641115.436221032 1733848.842671188, 4641103.916664017 1733771.1841258388, 4641084.840708281 1733695.0286416481, 4641058.392065704 1733621.1096375596, 4641024.825451174 1733550.1389939908, 4640984.464129536 1733482.800197036, 4640937.696802385 1733419.7417561207, 4640884.973864644 1733361.5709585024, 4640826.803067026 1733308.8480207615, 4640763.74462611 1733262.0806936095, 4640696.405829156 1733221.7193719728, 4640625.435185587 1733188.1527574426, 4640551.516181499 1733161.704114866, 4640475.360697308 1733142.628159129, 4640397.702151959 1733131.1086021138, 4640319.288439695 1733127.2563834516, 4640240.874727431 1733131.1086021138, 4640163.216182082 1733142.628159129, 4640087.060697891 1733161.704114866, 4640013.141693803 1733188.1527574426, 4639942.171050234 1733221.7193719728, 4639874.832253279 1733262.0806936095, 4639811.773812364 1733308.8480207615, 4639753.603014746 1733361.5709585024, 4639700.880077004 1733419.7417561207, 4639654.112749853 1733482.800197036, 4639613.751428216 1733550.1389939908, 4639580.184813686 1733621.1096375596, 4639553.736171109 1733695.0286416481, 4639534.660215372 1733771.1841258388, 4639523.140658357 1733848.842671188, 4639519.288439695 1733927.2563834516, 4639523.140658357 1734005.6700957152, 4639534.660215372 1734083.3286410645, 4639553.736171109 1734159.4841252551, 4639580.184813686 1734233.4031293436, 4639613.751428216 1734304.3737729124, 4639654.112749853 1734371.7125698673, 4639700.880077004 1734434.7710107826, 4639753.603014746 1734492.941808401, 4639811.773812364 1734545.6647461418, 4639874.832253279 1734592.4320732937, 4639942.171050234 1734632.7933949304, 4640013.141693803 1734666.3600094607, 4640087.060697891 1734692.8086520373, 4640163.216182082 1734711.8846077742, 4640240.874727431 1734723.4041647895, 4640319.288439695 1734727.2563834516, 4640397.702151959 1734723.4041647895, 4640475.360697308 1734711.8846077742, 4640551.516181499 1734692.8086520373, 4640625.435185587 1734666.3600094607, 4640696.405829156 1734632.7933949304, 4640763.74462611 1734592.4320732937, 4640826.803067026 1734545.6647461418, 4640884.973864644 1734492.941808401, 4640937.696802385 1734434.7710107826, 4640984.464129536 1734371.7125698673, 4641024.825451174 1734304.3737729124, 4641058.392065704 1734233.4031293436, 4641084.840708281 1734159.4841252551, 4641103.916664017 1734083.3286410645, 4641115.436221032 1734005.6700957152, 4641119.288439695 1733927.2563834516))",Poste Italiane,41.6903055555555,15.3925277777778,10k-40k,23600.63,POINT (4640943.585460423 1734479.4862546145),Puglia,3,29571,0.0246,4
