amenity,geometry,name
restaurant,POINT (8.8029486 45.7580856),
cafe,POINT (11.2799758 44.4551044),Coffee Break
cafe,POINT (11.2809982 44.456743),
restaurant,POINT (11.2712954 44.4545965),Il Delfino
cafe,POINT (11.2719813 44.4608998),Jakarta Coffee Shop
cafe,POINT (11.2807535 44.4561272),
restaurant,POINT (11.2746003 44.4606196),Mensa CAMST
restaurant,POINT (11.2800505 44.4559416),Autogrill
restaurant,POINT (11.2738421 44.4555723),Pizzeria Origano
restaurant,POINT (11.2727356 44.4608475),
cafe,POINT (11.2799758 44.4551044),Coffee Break
cafe,POINT (11.2809982 44.456743),
restaurant,POINT (11.2712954 44.4545965),Il Delfino
cafe,POINT (11.2719813 44.4608998),Jakarta Coffee Shop
cafe,POINT (11.2807535 44.4561272),
restaurant,POINT (11.2746003 44.4606196),Mensa CAMST
restaurant,POINT (11.2800505 44.4559416),Autogrill
restaurant,POINT (11.2738421 44.4555723),Pizzeria Origano
restaurant,POINT (11.2727356 44.4608475),
fast_food,POINT (12.7592813 41.8916005),Autogrill Prenestina Est
fast_food,POINT (12.7586731 41.8890762),Autogrill Prenestina Ovest
fast_food,POINT (11.5712741 44.8795279),Autogrill Po Est
fast_food,POINT (11.5689889 44.8796894),Autogrill Po Ovest
fast_food,POINT (12.7592813 41.8916005),Autogrill Prenestina Est
fast_food,POINT (12.7586731 41.8890762),Autogrill Prenestina Ovest
fast_food,POINT (12.7592813 41.8916005),Autogrill Prenestina Est
fast_food,POINT (12.7586731 41.8890762),Autogrill Prenestina Ovest
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (15.3161201 41.066839),Autogrill
restaurant,POINT (15.3148263 41.0648168),sarni
cafe,POINT (10.8558537 44.6617058),Eataly
cafe,POINT (10.8578243 44.6625963),Acafé
fast_food,POINT (10.8576345 44.6627165),Burger King
restaurant,POINT (10.8574166 44.6625261),Sarni
restaurant,POINT (10.8557309 44.6618607),Autogrill
fast_food,POINT (10.8577157 44.6626692),Spizzico
cafe,POINT (10.8558537 44.6617058),Eataly
cafe,POINT (10.8578243 44.6625963),Acafé
fast_food,POINT (10.8576345 44.6627165),Burger King
restaurant,POINT (10.8574166 44.6625261),Sarni
restaurant,POINT (10.8557309 44.6618607),Autogrill
fast_food,POINT (10.8577157 44.6626692),Spizzico
restaurant,POINT (8.810657 45.7560411),Hana
restaurant,POINT (8.8128188 45.7597352),La Felicità
restaurant,POINT (8.8132319 45.7583186),Circolo Ristoratore Cascine Maggio
cafe,POINT (8.8102198 45.7557623),La Papaya
restaurant,POINT (8.8029486 45.7580856),
restaurant,POINT (8.810657 45.7560411),Hana
restaurant,POINT (8.8128188 45.7597352),La Felicità
restaurant,POINT (8.8132319 45.7583186),Circolo Ristoratore Cascine Maggio
cafe,POINT (8.8102198 45.7557623),La Papaya
restaurant,POINT (8.8029486 45.7580856),
restaurant,POINT (9.2782676 45.4687778),Il Veliero
cafe,POINT (9.2803993 45.4653904),
restaurant,POINT (9.2802859 45.4653673),Capo Nord Est
fast_food,POINT (9.2793816 45.4613976),McDonald's
restaurant,POINT (9.2800967 45.4609311),
restaurant,POINT (9.2802896 45.461006),
post_office,POINT (9.2797801 45.4611451),
cafe,POINT (9.286076 45.4637036),Circolo ARCI Magnolia
cafe,POINT (9.2804437 45.4669398),L'Orchidea
cafe,POINT (9.2794051 45.4607992),Rinaldini
restaurant,POINT (9.2803447 45.4653879),Sushi Shou
cafe,POINT (10.8558537 44.6617058),Eataly
cafe,POINT (10.8578243 44.6625963),Acafé
fast_food,POINT (10.8576345 44.6627165),Burger King
restaurant,POINT (10.8574166 44.6625261),Sarni
restaurant,POINT (10.8557309 44.6618607),Autogrill
fast_food,POINT (10.8577157 44.6626692),Spizzico
bar,POINT (12.2298512 42.6256486),Autogrill
restaurant,POINT (9.2782676 45.4687778),Il Veliero
cafe,POINT (9.2803993 45.4653904),
restaurant,POINT (9.2802859 45.4653673),Capo Nord Est
fast_food,POINT (9.2793816 45.4613976),McDonald's
restaurant,POINT (9.2800967 45.4609311),
restaurant,POINT (9.2802896 45.461006),
post_office,POINT (9.2797801 45.4611451),
cafe,POINT (9.286076 45.4637036),Circolo ARCI Magnolia
cafe,POINT (9.2804437 45.4669398),L'Orchidea
cafe,POINT (9.2794051 45.4607992),Rinaldini
restaurant,POINT (9.2803447 45.4653879),Sushi Shou
fast_food,POINT (12.0169085 42.8727181),Mondo Pizza Rosticceria
restaurant,POINT (12.0222192 42.8752065),"Ristorante ""Il Focolare"""
restaurant,POINT (12.0210858 42.8740725),"Ristorante ""La Bettola del Buttero"""
restaurant,POINT (9.3766289 45.3218839),My Chef
restaurant,POINT (9.3766289 45.3218839),My Chef
fast_food,POINT (12.6189369 43.9940903),
fast_food,POINT (12.6193675 43.9951735),
fast_food,POINT (12.626786 43.9956746),Pizza mania 3
cafe,POINT (12.6269358 43.9960418),Caffè Veneto
fast_food,POINT (12.618065 43.9921988),
cafe,POINT (12.6163928 43.9909909),Zanni
cafe,POINT (12.6225507 43.9913151),CH4 Cafè
fast_food,POINT (11.5712741 44.8795279),Autogrill Po Est
fast_food,POINT (11.5689889 44.8796894),Autogrill Po Ovest
fast_food,POINT (11.5712741 44.8795279),Autogrill Po Est
fast_food,POINT (11.5689889 44.8796894),Autogrill Po Ovest
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
