outletId,chargerId,position,type,physicalPosition,cableLength,producer,errorCode,hycErrorCode,status,text,updateTime,isPrivate
89470,13426,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:30:59+00:00,False
89471,13426,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T15:31:47+00:00,False
71688,10582,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:26:50+00:00,False
71689,10582,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T07:06:45+00:00,False
111973,17424,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:14:19+00:00,False
111974,17424,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:26:03+00:00,False
77292,10545,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:53:18+00:00,False
77293,10545,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:06:13+00:00,False
1363314,71210,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T10:31:40+00:00,False
1363315,71210,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T09:04:14+00:00,False
89442,13417,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:19:48+00:00,False
89443,13417,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:31:22+00:00,False
753591,16939,1,CCS2_400,1.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T15:51:50+00:00,False
753592,16939,2,CCS2_400,4.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T17:19:57+00:00,False
131045,20795,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:33:17+00:00,False
131046,20795,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T17:06:52+00:00,False
84010,12618,1,CCS2_400,1.0,500,,OtherError,Output_Disabled_IsoFaultPersistent,Faulted,,2024-08-30T08:02:59+00:00,False
84011,12618,2,CCS2_400,4.0,500,,NoError,NoError,SuspendedEVSE,No Error,2024-09-03T20:37:04+00:00,False
62263,9262,1,CCS2_400,1.0,500,,NoError,NoError,Charging,No Error,2024-09-03T09:41:57+00:00,False
62264,9262,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:25:06+00:00,False
121870,13448,1,CCS2_400,1.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T13:53:15+00:00,False
