connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITP2102*2,Area di Servizio - Irpinia Sud,Autostrada dei due Mari,83100,40.92538,14.7831,alpitronic GmbH,6658.760999999998,190,4612.83,300.0,Avellino,4115.71,4950.0,Campania,0.0206
IT*F2X*EF2XITP2101*1,Area di Servizio - Irpinia Sud,Autostrada dei due Mari,83100,40.925431,14.783183,alpitronic GmbH,19548.693999999996,647,13326.19,300.0,Avellino,10279.31,12435.0,Campania,0.0206
IT*F2X*EF2XITP2101*2,Area di Servizio - Irpinia Sud,Autostrada dei due Mari,83100,40.925431,14.783183,alpitronic GmbH,16598.08799999999,486,11281.65,300.0,Avellino,6215.14,7756.0,Campania,0.0206
IT*F2X*EF2XITG7051*1,Area di Servizio - Giovi Est,A7 - Autostrada dei Giovi,16019,44.603716,8.953862,EVTEC,941.39,51,517.81,62.5,Ronco Scrivia,280.7,766.0,Liguria,0.0664
IT*F2X*EF2XITG7051*2,Area di Servizio - Giovi Est,A7 - Autostrada dei Giovi,16019,44.603716,8.953862,EVTEC,242.476,19,133.35,62.5,Ronco Scrivia,93.67,376.0,Liguria,0.0664
IT*F2X*EF2XITG7051*3,Area di Servizio - Giovi Est,A7 - Autostrada dei Giovi,16019,44.603716,8.953862,EVTEC,398.01799999999986,71,179.12,22.0,Ronco Scrivia,143.6,2143.0,Liguria,0.0664
IT*F2X*EF2XITX2051*1,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.591275,8.665651,EVTEC,4229.494000000001,221,2331.01,62.5,Belforte Monferrato,1367.94,3420.0,Piemonte,0.0732
IT*F2X*EF2XITX2051*2,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.591275,8.665651,EVTEC,735.237,41,404.41,62.5,Belforte Monferrato,408.86,1634.0,Piemonte,0.0732
IT*F2X*EF2XITX2051*3,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.591275,8.665651,EVTEC,1226.221,181,551.85,22.0,Belforte Monferrato,384.21,5292.0,Piemonte,0.0732
IT*F2X*EF2XITX5002*1,Area di Servizio - Monferrato Est,A26 Autostrada dei Trafori,15040,45.07462,8.51099,alpitronic GmbH,24107.93600000003,882,16380.21,300.0,Occimiano,15468.4,18282.0,Piemonte,0.0732
IT*F2X*EF2XITX5002*2,Area di Servizio - Monferrato Est,A26 Autostrada dei Trafori,15040,45.07462,8.51099,alpitronic GmbH,19032.596,623,12944.75,300.0,Occimiano,11569.31,14200.0,Piemonte,0.0732
IT*F2X*EF2XITX5001*1,Area di Servizio - Monferrato Est,A26 Autostrada dei Trafori,15040,45.07469,8.51101,alpitronic GmbH,16728.727999999996,611,11351.23,300.0,Occimiano,12065.55,14414.0,Piemonte,0.0732
IT*F2X*EF2XITX5001*2,Area di Servizio - Monferrato Est,A26 Autostrada dei Trafori,15040,45.07469,8.51101,alpitronic GmbH,20635.807999999997,671,14025.58,300.0,Occimiano,11971.37,14732.0,Piemonte,0.0732
IT*F2X*EF2XITA3003*1,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662235,10.858016,alpitronic GmbH,29116.573000000044,868,19806.57,300.0,Modena,4642.6,5567.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITX5101*1,Area di Servizio - Monferrato Ovest,A26 Autostrada dei Trafori,15040,45.0749,8.50907,alpitronic GmbH,27301.748000000018,942,18569.62,300.0,Occimiano,17499.75,19836.0,Piemonte,0.0732
IT*F2X*EF2XITX5101*2,Area di Servizio - Monferrato Ovest,A26 Autostrada dei Trafori,15040,45.0749,8.50907,alpitronic GmbH,19875.176,599,13518.01,300.0,Occimiano,9139.17,11297.0,Piemonte,0.0732
IT*F2X*EF2XITX5102*1,Area di Servizio - Monferrato Ovest,A26 Autostrada dei Trafori,15040,45.07489,8.50897,alpitronic GmbH,18418.986000000008,622,13009.01,300.0,Occimiano,11879.38,14204.0,Piemonte,0.0732
IT*F2X*EF2XITX5102*2,Area di Servizio - Monferrato Ovest,A26 Autostrada dei Trafori,15040,45.07489,8.50897,alpitronic GmbH,30240.676000000025,902,21707.75,300.0,Occimiano,17055.63,20688.0,Piemonte,0.0732
IT*F2X*EF2XITA3003*2,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662235,10.858016,alpitronic GmbH,44366.231999999945,1284,30201.23,300.0,Modena,6419.78,7886.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3004*1,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662234,10.85799,alpitronic GmbH,45742.363999999965,1564,31524.9,300.0,Modena,5750.53,7246.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3004*2,Area di Servizio - Secchia Est,Autostrada del Sole,41100,44.662234,10.85799,alpitronic GmbH,28425.610999999997,1018,19341.41,300.0,Modena,3019.3,3709.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITD2101*1,Area di Servizio - Brianza Sud,A4 Torino - Trieste,20864,45.57406,9.3934,alpitronic GmbH,29564.863999999976,1061,20117.74,300.0,Caponago,29919.93,38149.0,Lombardia,0.0767
